# spell glossary: word<TAB>part_of_speech<TAB>short definition
# Coverage: bundled en_US.dic (80 words). Target ≥80% for tests.
# Context clues help users tell similar-looking words apart (e.g. there/their).
# Rebuild: python scripts/build_glossary.py  (WordNet → Wiktionary → LLM)
# Lines starting with # are comments.

hello	interj.	used as a greeting
airing	n.	a short excursion (a walk or ride) in the open air
airing	n.	the act of supplying fresh air and getting rid of foul air
airing	v.	expose to fresh air
airing	v.	be broadcast
airing	v.	broadcast over the airwaves, as in radio or television
airing	v.	make public
airing	v.	expose to warm or heated air, so as to dry
airing	v.	expose to cool or cold air so as to cool or freshen
airless	adj.	lacking fresh air
airlift	n.	transportation of people or goods by air (especially when other means of access are unavailable)
airlift	v.	fly people or goods to or from places not accessible by other means
airline	n.	a hose that carries air under pressure
airline	n.	a commercial enterprise that provides scheduled flights for passengers
airliner	n.	a commercial airplane that carries passengers
airlock	n.	a chamber that provides access to space where air is under pressure
airmail	n.	letters and packages that are transported by aircraft
airmail	n.	a system of conveying mail by aircraft
airmail	v.	send or transport by airmail
airman	n.	someone who operates an aircraft
airmen	n.	someone who operates an aircraft
airplane	n.	an aircraft that has a fixed wing and is powered by propellers or jets
airport	n.	an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
airship	n.	a steerable self-propelled aircraft
airsick	adj.	experiencing motion sickness
airsickness	n.	motion sickness experienced while traveling by air (especially during turbulence)
airspace	n.	the space in the atmosphere immediately above the earth
airspace	n.	the atmosphere above a nation that is deemed to be under its jurisdiction
airspeed	n.	the speed of an aircraft relative to the air in which it is flying
airstrip	n.	an airfield without normal airport facilities
airtight	adj.	having no weak points
airtight	adj.	not allowing air or gas to pass in or out
airwaves	n.	medium for radio and television broadcasting
airway	n.	a duct that provides ventilation (as in mines)
airway	n.	a designated route followed by airplanes in flying from one airport to another
airway	n.	the passages through which air enters and leaves the body
airway	n.	a commercial enterprise that provides scheduled flights for passengers
airwoman	n.	a woman aviator
airwomen	n.	a woman aviator
airworthiness	n.	fitness to fly
airworthy	adj.	(of aircraft) fit to fly
airy	adj.	open to or abounding in fresh air
airy	adj.	not practical or realizable; speculative
airy	adj.	having little or no perceptible weight; so light as to resemble air
airy	adj.	characterized by lightness and insubstantiality; as impalpable or intangible as air; - Thomas Carlyle
aisle	n.	a long narrow passage (as in a cave or woods)
aisle	n.	passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores
aisle	n.	part of a church divided laterally from the nave proper by rows of pillars or columns
ajar	adj.	slightly open
ajax	n.	a mythical Greek hero; a warrior who fought against Troy in the Iliad
ak	n.	a state in northwestern North America; the 49th state admitted to the union
akimbo	adj.	(used of arms and legs) bent outward with the joint away from the body
akimbo	adv.	with hands on hips and elbows extending outward
akin	adj.	similar in quality or character
akin	adj.	related by blood
akron	n.	a city in northeastern Ohio; the heart of the United States rubber industry
al	n.	a silvery ductile metallic element found primarily in bauxite
al	n.	a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War
ala	n.	a flat wing-shaped process or winglike part of an organism
ala	n.	a wing of an insect
alabama	n.	a state in the southeastern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War
alabama	n.	a member of the Muskhogean people formerly living in what is now the state of Alabama
alabama	n.	a river in Alabama formed by the confluence of the Coosa and Tallapoosa Rivers near Montgomery; flows southwestward to become a tributary of the Mobile River
alabama	n.	the Muskhogean language of the Alabama
alabaman	n.	a native or resident of Alabama
alabamian	n.	a native or resident of Alabama
alabaster	n.	a compact fine-textured, usually white gypsum used for carving
alabaster	n.	a hard compact kind of calcite
alabaster	n.	a very light white
alabaster	adj.	of or resembling alabaster
alacrity	n.	liveliness and eagerness
aladdin	n.	in the Arabian Nights a boy who acquires a magic lamp from which he can summon a genie
alamo	n.	a siege and massacre at a mission in San Antonio in 1836; Mexican forces under Santa Anna besieged and massacred American rebels who were fighting to make Texas independent of Mexico
alar	n.	a chemical sprayed on fruit trees to regulate their growth so the entire crop can be harvested at one time
alar	adj.	of or relating to the axil
alar	adj.	having or resembling wings
alaric	n.	king of the Visigoths who captured Rome in 410 (370-410)
alarm	n.	fear resulting from the awareness of danger
alarm	n.	a device that signals the occurrence of some undesirable event
alarm	n.	an automatic signal (usually a sound) warning of danger
alarm	n.	a clock that wakes a sleeper at some preset time
alarm	v.	fill with apprehension or alarm; cause to be unpleasantly surprised
alarm	v.	warn or arouse to a sense of danger or call to a state of preparedness
alarming	v.	fill with apprehension or alarm; cause to be unpleasantly surprised
alarming	v.	warn or arouse to a sense of danger or call to a state of preparedness
alarming	adj.	frightening because of an awareness of danger
alarmist	n.	a person who alarms others needlessly
alas	n.	a flat wing-shaped process or winglike part of an organism
alas	n.	a wing of an insect
alas	adv.	by bad luck
alaska	n.	a state in northwestern North America; the 49th state admitted to the union
alaskan	n.	a native or resident of Alaska
alaskan	adj.	relating to or characteristic of the state or people of Alaska
alb	n.	a white linen liturgical vestment with sleeves; worn by priests
albacore	n.	relatively small tuna with choice white flesh; major source of canned tuna
albacore	n.	large pelagic tuna the source of most canned tuna; reaches 93 pounds and has long pectoral fins; found worldwide in tropical and temperate waters
albania	n.	a republic in southeastern Europe on the Adriatic coast of the Balkan Peninsula
albanian	n.	a native or inhabitant of Albania
albanian	n.	the Indo-European language spoken by the people of Albania
albanian	adj.	of or relating to Albania or its people or language or culture
albany	n.	state capital of New York; located in eastern New York State on the west bank of the Hudson river
albany	n.	a town in southwest Georgia; processing center for peanuts and pecans
albatross	n.	(figurative) something that hinders or handicaps
albatross	n.	large web-footed birds of the southern hemisphere having long narrow wings; noted for powerful gliding flight
albee	n.	United States dramatist (1928-)
albert	n.	prince consort of Queen Victoria of England (1819-1861)
alberta	n.	one of the three prairie provinces in western Canada; rich in oil and natural gas and minerals
albigensian	adj.	of or relating to Albigenses or Albigensianism
albinism	n.	the congenital absence of pigmentation in the eyes and skin and hair
albino	n.	a person with congenital albinism: white hair and milky skin; eyes are usually pink
albion	n.	archaic name for England or Great Britain; used poetically
album	n.	one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
album	n.	a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc
albumen	n.	a simple water-soluble protein found in many animal tissues and liquids
albumen	n.	the white part of an egg; the nutritive and protective gelatinous substance surrounding the yolk consisting mainly of albumin dissolved in water
albumin	n.	a simple water-soluble protein found in many animal tissues and liquids
albuminous	adj.	relating to or containing or resembling albumin
albuquerque	n.	the largest city in New Mexico; located in central New Mexico on the Rio Grande river
alchemist	n.	one who was versed in the practice of alchemy and who sought an elixir of life and a panacea and an alkahest and the philosopher's stone
alchemy	n.	the way two individuals relate to each other
alchemy	n.	a pseudoscientific forerunner of chemistry in medieval times
alcibiades	n.	ancient Athenian statesman and general in the Peloponnesian War (circa 450-404 BC)
alcohol	n.	a liquor or brew containing alcohol as the active agent
alcohol	n.	any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation
alcoholic	n.	a person who drinks alcohol to excess habitually
alcoholic	adj.	characteristic of or containing alcohol
alcoholic	adj.	addicted to alcohol; - Carl Van Doren
alcoholism	n.	habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms
alcoholism	n.	an intense persistent desire to drink alcoholic beverages to excess
alcott	n.	United States novelist noted for children's books (1832-1888)
alcove	n.	a small recess opening off a larger room
alcyone	n.	(Greek mythology) a woman who was turned into a kingfisher
aldebaran	n.	the brightest star in Taurus
alder	n.	wood of any of various alder trees; resistant to underwater rot; used for bridges etc
alder	n.	north temperate shrubs or trees having toothed leaves and conelike fruit; bark is used in tanning and dyeing and the wood is rot-resistant
alderman	n.	a member of a municipal legislative body (as a city council)
aldermen	n.	a member of a municipal legislative body (as a city council)
ale	n.	a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume
aleatory	adj.	dependent on chance
alehouse	n.	a tavern where ale is sold
alembic	n.	an obsolete kind of container used for distillation; two retorts connected by a tube
aleppo	n.	a city in northwestern Syria
alert	n.	condition of heightened watchfulness or preparation for action
alert	n.	a warning serves to make you more alert to danger
alert	n.	an automatic signal (usually a sound) warning of danger
alert	v.	warn or arouse to a sense of danger or call to a state of preparedness
alert	adj.	engaged in or accustomed to close observation
alert	adj.	quick and energetic
alert	adj.	mentally perceptive and responsive
alertness	n.	the process of paying close and continuous attention
alertness	n.	a state of readiness to respond
alertness	n.	lively attentiveness
aleut	n.	a member of the people inhabiting the Aleutian Islands and southwestern Alaska
aleut	n.	a community of Native Americans who speak an Eskimo-Aleut language and inhabit the Aleutian Islands and southwestern Alaska
aleut	n.	the language spoken by the Aleut
aleutian	n.	a member of the people inhabiting the Aleutian Islands and southwestern Alaska
aleutian	adj.	of or relating to the Aleut or their language or culture
alewife	n.	flesh of shad-like fish abundant along the Atlantic coast or in coastal streams
alewife	n.	shad-like food fish that runs rivers to spawn; often salted or smoked; sometimes placed in genus Pomolobus
alewives	n.	flesh of shad-like fish abundant along the Atlantic coast or in coastal streams
alewives	n.	shad-like food fish that runs rivers to spawn; often salted or smoked; sometimes placed in genus Pomolobus
alexander	n.	European herb somewhat resembling celery widely naturalized in Britain coastal regions and often cultivated as a potherb
alexander	n.	king of Macedon; conqueror of Greece and Egypt and Persia; founder of Alexandria (356-323 BC)
alexandria	n.	a town in Louisiana on the Red River
alexandria	n.	the chief port of Egypt; located on the western edge of the Nile delta on the Mediterranean Sea; founded by Alexander the Great; the capital of ancient Egypt
alexandrian	n.	a resident or native of Alexandria (especially Alexandria in Egypt)
alexandrian	adj.	of or relating to Alexander the Great or his empire
alfalfa	n.	important European leguminous forage plant with trifoliate leaves and blue-violet flowers grown widely as a pasture and hay crop
alfalfa	n.	leguminous plant grown for hay or forage
alfred	n.	king of Wessex; defeated the Vikings and encouraged writing in English (849-899)
alfresco	adj.	in the open air
alfresco	adv.	outside a building
alga	n.	primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
algae	n.	primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves
algal	adj.	of or relating to alga
algebra	n.	the mathematics of generalized arithmetical operations
algebraic	adj.	of or relating to algebra
algebraically	adv.	in an algebraic manner
alger	n.	United States author of inspirational adventure stories for boys; virtue and hard work overcome poverty (1832-1899)
algeria	n.	a republic in northwestern Africa on the Mediterranean Sea with a population that is predominantly Sunni Muslim; colonized by France in the 19th century but gained autonomy in the early 1960s
algerian	n.	a native or inhabitant of Algeria
algerian	adj.	of or relating to or characteristic of Algeria or its inhabitants
algiers	n.	an ancient port on the Mediterranean; the capital and largest city of Algeria
algol	n.	the second brightest star in Perseus; the first known eclipsing binary
algol	n.	(from a combination of ALGOrithmic and Language); a programming language used to express computer programs as algorithms
algonquian	n.	a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast
algonquian	n.	family of North American Indian languages spoken from Labrador to South Carolina and west to the Great Plains
algonquian	adj.	of or relating to an Algonquian tribe or its people or language
algonquin	n.	a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast
algonquin	n.	family of North American Indian languages spoken from Labrador to South Carolina and west to the Great Plains
algonquin	adj.	of or relating to an Algonquian tribe or its people or language
algorithm	n.	a precise rule (or set of rules) specifying how to solve some problem
algorithmic	adj.	of or relating to or having the characteristics of an algorithm
alhambra	n.	a fortified Moorish palace built near Granada by Muslim kings in the Middle Ages
ali	n.	United States prizefighter who won the world heavyweight championship three times (born in 1942)
ali	n.	the fourth caliph of Islam who is considered to be the first caliph by Shiites; he was a cousin and son-in-law of Muhammad; after his assassination Islam was divided into Shiite and Sunnite sects
alias	n.	a name that has been assumed temporarily
alias	adv.	as known or named at another time or place
alibi	n.	(law) a defense by an accused person purporting to show that he or she could not have committed the crime in question
alibi	n.	a defense of some offensive behavior or some failure to keep a promise etc.
alibi	v.	exonerate by means of an alibi
alien	n.	a person who comes from a foreign country; someone who does not owe allegiance to your country
alien	n.	anyone who does not belong in the environment in which they are found
alien	n.	a form of life assumed to exist outside the Earth or its atmosphere
alien	v.	transfer property or ownership
alien	v.	arouse hostility or indifference in where there had formerly been love, affection, or friendliness
alien	adj.	not contained in or deriving from the essential nature of something
alien	adj.	being or from or characteristic of another place or part of the world
alienable	adj.	transferable to another owner
alienate	v.	arouse hostility or indifference in where there had formerly been love, affection, or friendliness
alienate	v.	transfer property or ownership
alienate	v.	make withdrawn or isolated or emotionally dissociated
alienation	n.	the feeling of being alienated from other people
alienation	n.	separation resulting from hostility
alienation	n.	(law) the voluntary and absolute transfer of title and possession of real property from one person to another
alienation	n.	the action of alienating; the action of causing to become unfriendly
alienist	n.	a psychiatrist and specialist in the legal aspects of mental illness
alight	v.	to come to rest, settle
alight	v.	come down
alight	adj.	lighted up by or as by fire or flame
align	v.	place in a line or arrange so as to be parallel or straight
align	v.	be or come into adjustment with
align	v.	align oneself with a group or a way of thinking
align	v.	bring (components or parts) into proper or desirable coordination correlation
aligned	v.	place in a line or arrange so as to be parallel or straight
aligned	v.	be or come into adjustment with
aligned	v.	align oneself with a group or a way of thinking
aligned	v.	bring (components or parts) into proper or desirable coordination correlation
aligned	adj.	brought into agreement or cooperation on the side of a faction, party, or cause
aligned	adj.	in a straight line
alignment	n.	an organization of people (or countries) involved in a pact or treaty
alignment	n.	the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines
alignment	n.	(astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac
alignment	n.	the act of adjusting or aligning the parts of a device in relation to each other
alike	adj.	having the same or similar characteristics
alike	adv.	equally
alike	adv.	in a like manner
aliment	n.	a source of materials to nourish the body
aliment	v.	give nourishment to
alimentary	adj.	of or providing nourishment
alimony	n.	court-ordered support paid by one spouse to another after they are separated
aline	v.	place in a line or arrange so as to be parallel or straight
aliveness	n.	the condition of living or the state of being alive
aliveness	n.	the property of being animated; having animal life as distinguished from plant life
aliyah	n.	(Judaism) the honor of being called up to the reading desk in the synagogue to read from the Torah
aliyah	n.	(Judaism) immigration of Jews to Israel
aliyahs	n.	(Judaism) the honor of being called up to the reading desk in the synagogue to read from the Torah
aliyahs	n.	(Judaism) immigration of Jews to Israel
alkali	n.	any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water
alkali	n.	a mixture of soluble salts found in arid soils and some bodies of water; detrimental to agriculture
alkalies	n.	any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water
alkalies	n.	a mixture of soluble salts found in arid soils and some bodies of water; detrimental to agriculture
alkaline	adj.	relating to or containing an alkali; having a pH greater than 7
alkalinity	n.	pH values above 7
alkalize	v.	turn basic and less acidic
alkaloid	n.	natural bases containing nitrogen found in plants
alkyd	n.	a durable synthetic resin widely used in adhesives and paints
all	adj.	quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
all	adj.	completely given to or absorbed by
all	adv.	to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
allah	n.	Muslim name for the one and only God
allay	v.	lessen the intensity of or calm
allay	v.	satisfy (thirst)
allegation	n.	(law) a formal accusation against somebody (often in a court of law)
allegation	n.	statements affirming or denying certain matters of fact that you are prepared to prove
allege	v.	report or maintain
alleged	v.	report or maintain
alleged	adj.	declared but not proved; - Wall Street Journal
alleged	adj.	doubtful or suspect
alleghenies	n.	the western part of the Appalachian Mountains; extending from northern Pennsylvania to southwestern Virginia
alleghenies	n.	a river that rises in Pennsylvania and flows north into New York and then back south through Pennsylvania again to join the Monongahela River at Pittsburgh which is the beginning of the Ohio River
allegheny	n.	a river that rises in Pennsylvania and flows north into New York and then back south through Pennsylvania again to join the Monongahela River at Pittsburgh which is the beginning of the Ohio River
allegiance	n.	the act of binding yourself (intellectually or emotionally) to a course of action
allegiance	n.	the loyalty that citizens owe to their country (or subjects to their sovereign)
allegoric	adj.	used in or characteristic of or containing allegory
allegorical	adj.	used in or characteristic of or containing allegory
allegory	n.	a short moral story (often with animal characters)
allegory	n.	a visible symbol representing an abstract idea
allegory	n.	an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor
allegretto	n.	a quicker tempo than andante but not as fast as allegro
allegretto	n.	a musical composition or musical passage to be performed at a somewhat quicker tempo than andante but not as fast as allegro
allegretto	adj.	(of tempo) faster than allegro
allegretto	adv.	in a moderately quick tempo
allegro	n.	a brisk and lively tempo
allegro	n.	a musical composition or musical passage to be performed quickly in a brisk lively manner
allegro	adj.	(of tempo) fast
allegro	adv.	in a quick and lively tempo
allele	n.	(genetics) either of a pair (or series) of alternative forms of a gene that can occupy the same locus on a particular chromosome and that control the same character
allen	n.	United States comedienne remembered as the confused but imperturbable partner of her husband, George Burns (1906-1964)
allen	n.	United States filmmaker and comic actor (1935-)
allen	n.	a soldier of the American Revolution whose troops helped capture Fort Ticonderoga from the British (1738-1789)
allentown	n.	a city in eastern Pennsylvania; an industrial and commercial center
allergen	n.	any substance that can cause an allergy
allergenic	adj.	relating to or having the effect of an allergen
allergic	adj.	characterized by or caused by allergy
allergic	adj.	having an allergy or peculiar or excessive susceptibility (especially to a specific factor)
allergist	n.	a physician skilled in the diagnosis and treatment of allergies
allergy	n.	hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity
alleviate	v.	provide physical relief, as from pain
alleviate	v.	make easier
alleviation	n.	the feeling that comes when something burdensome is removed or reduced
alleviation	n.	the act of reducing something unpleasant (as pain or annoyance)
alley	n.	a narrow street with walls on both sides
alley	n.	a lane down which a bowling ball is rolled toward pins
alleyway	n.	a narrow street with walls on both sides
allhallows	n.	a Christian feast day honoring all the saints; first observed in 835
alliance	n.	the state of being allied or confederated
alliance	n.	a connection based on kinship or marriage or common interest
alliance	n.	an organization of people (or countries) involved in a pact or treaty
alliance	n.	a formal agreement establishing an association or alliance between nations or other groups to achieve a particular aim
alliance	n.	the act of forming an alliance or confederation
alligator	n.	leather made from alligator's hide
alligator	n.	either of two amphibious reptiles related to crocodiles but with shorter broader snouts
alligator	v.	crack and acquire the appearance of alligator hide, as from weathering or improper application; of paint and varnishes
alliterate	v.	use alliteration as a form of poetry
alliteration	n.	use of the same consonant at the beginning of each stressed syllable in a line of verse
alliterative	adj.	having the same consonant at the beginning of each stressed syllable
allocate	v.	distribute according to a plan or set apart for a special purpose
allocation	n.	a share set aside for a specific purpose
allocation	n.	the act of distributing by allotting or apportioning; distribution according to a plan
allocation	n.	(computer science) the assignment of particular areas of a magnetic disk to particular data or instructions
allocations	n.	a share set aside for a specific purpose
allocations	n.	the act of distributing by allotting or apportioning; distribution according to a plan
allocations	n.	(computer science) the assignment of particular areas of a magnetic disk to particular data or instructions
allot	v.	give out
allot	v.	allow to have
allot	v.	administer or bestow, as in small portions
allotment	n.	a share set aside for a specific purpose
allotment	n.	the act of distributing by allotting or apportioning; distribution according to a plan
allotted	v.	give out
allotted	v.	allow to have
allotted	v.	administer or bestow, as in small portions
allotted	adj.	given as a task
allotting	v.	give out
allotting	v.	allow to have
allotting	v.	administer or bestow, as in small portions
allover	adj.	covering the entire surface
allow	v.	make it possible through a specific action or lack of action for something to happen
allow	v.	consent to, give permission
allow	v.	let have
allow	v.	give or assign a resource to a particular person or cause
allow	v.	make a possibility or provide opportunity for; permit to be attainable or cause to remain
allow	v.	allow or plan for a certain possibility; concede the truth or validity of something
allow	v.	afford possibility
allow	v.	allow the other (baseball) team to score
allow	v.	grant as a discount or in exchange
allow	v.	allow the presence of or allow (an activity) without opposing or prohibiting
allowable	adj.	deductible according to the tax laws
allowable	adj.	that may be permitted especially as according to rule
allowable	adj.	deserving to be allowed or considered
allowably	adv.	in a permissible manner
allowance	n.	an amount allowed or granted (as during a given period)
allowance	n.	a sum granted as reimbursement for expenses
allowance	n.	an amount added or deducted on the basis of qualifying circumstances
allowance	n.	a permissible difference; allowing some freedom to move within limits
allowance	n.	a reserve fund created by a charge against profits in order to provide for changes in the value of a company's assets
allowance	n.	the act of allowing
allowance	v.	put on a fixed allowance, as of food
alloy	n.	a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten
alloy	n.	the state of impairing the quality or reducing the value of something
alloy	v.	lower in value by increasing the base-metal content
alloy	v.	make an alloy of
alloyed	v.	lower in value by increasing the base-metal content
alloyed	v.	make an alloy of
alloyed	adj.	(used of metals) debased by mixture with an inferior element
alloyed	adj.	(used of metals) blended to obtain a desired property
allspice	n.	aromatic West Indian tree that produces allspice berries
allspice	n.	deciduous shrubs having aromatic bark; eastern China; southwestern and eastern United States
allspice	n.	ground dried berrylike fruit of a West Indian allspice tree; suggesting combined flavors of cinnamon and nutmeg and cloves
allude	v.	make a more or less disguised reference to
allure	n.	the power to entice or attract through personal charm
allure	v.	dispose or incline or entice to
allurement	n.	attractiveness
allurement	n.	the power to entice or attract through personal charm
allurement	n.	the act of enticing a person to do something wrong (as an offer of sex in return for money)
alluring	v.	dispose or incline or entice to
alluring	adj.	highly attractive and able to arouse hope or desire
allusion	n.	passing reference or indirect mention
allusive	adj.	characterized by indirect references
allusiveness	n.	a quality characterized by indirect reference
alluvial	adj.	of or relating to alluvium
alluvium	n.	clay or silt or gravel carried by rushing streams and deposited where the stream slows down
ally	n.	a friendly nation
ally	n.	an associate who provides cooperation or assistance
ally	v.	become an ally or associate, as by a treaty or marriage
almanac	n.	an annual publication including weather forecasts and other miscellaneous information arranged according to the calendar of a given year
almanac	n.	an annual publication containing tabular information in a particular field or fields arranged according to the calendar of a given year
almaty	n.	the largest city in Kazakhstan and the capital until 1998
almighty	n.	terms referring to the Judeo-Christian God
almighty	adj.	having unlimited power
almond	n.	small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California
almond	n.	oval-shaped edible seed of the almond tree
almoner	n.	an official in a British hospital who looks after the social and material needs of the patients
almoravid	n.	a member of a Muslim dynasty of Berber warriors that flourished from 1049 to 1145 and that established political dominance over northwestern Africa and Spain
almost	adv.	(of actions or states) slightly short of or not quite accomplished; all but
alms	n.	money or goods contributed to the poor
aloe	n.	succulent plants having rosettes of leaves usually with fiber like hemp and spikes of showy flowers; found chiefly in Africa
aloft	adv.	at or on or to the masthead or upper rigging of a ship
aloft	adv.	upward
aloft	adv.	at or to great height; high up in or into the air
aloft	adv.	in the higher atmosphere above the earth
aloha	n.	an acknowledgment that can be used to say hello or goodbye (aloha is Hawaiian and ciao is Italian)
alone	adj.	isolated from others
alone	adj.	lacking companions or companionship
alone	adj.	exclusive of anyone or anything else
alone	adj.	radically distinctive and without equal
alone	adv.	without any others being included or involved
alone	adv.	without anybody else or anything else
along	adv.	with a forward motion
along	adv.	in accompaniment or as a companion
along	adv.	to a more advanced state
along	adv.	in addition (usually followed by `with')
along	adv.	in line with a length or direction (often followed by `by' or `beside')
alongside	adv.	side by side
aloof	adj.	remote in manner
aloof	adv.	in an aloof manner
aloofness	n.	indifference by personal withdrawal
aloofness	n.	a disposition to be distant and unsympathetic in manner
aloud	adv.	using the voice; not silently
aloud	adv.	with relatively high volume
alp	n.	any high mountain
alpaca	n.	wool of the alpaca
alpaca	n.	a thin glossy fabric made of the wool of the Lama pacos, or made of a rayon or cotton imitation of that wool
alpaca	n.	domesticated llama with long silky fleece; believed to be a domesticated variety of the guanaco
alpha	n.	the 1st letter of the Greek alphabet
alpha	n.	the beginning of a series or sequence; --Revelations
alpha	adj.	first in order of importance
alpha	adj.	early testing stage of a software or hardware product
alphabet	n.	a character set that includes letters and is used to write a language
alphabet	n.	the elementary stages of any subject (usually plural)
alphabetic	adj.	relating to or expressed by a writing system that uses an alphabet
alphabetic	adj.	arranged in order according to the alphabet
alphabetical	adj.	relating to or expressed by a writing system that uses an alphabet
alphabetical	adj.	arranged in order according to the alphabet
alphabetization	n.	the act of putting in alphabetical order
alphabetize	v.	arrange in alphabetical order
alphabetize	v.	provide with an alphabet
alphabetizer	n.	a literate person who can arrange items in alphabetical order
alphanumeric	adj.	of or pertaining to alphanumeric characters
alphanumerical	adj.	of or pertaining to alphanumeric characters
alpine	adj.	relating to or characteristic of alps
alpine	adj.	relating to the Alps and their inhabitants
alpine	adj.	living or growing above the timber line
alps	n.	a large mountain system in south-central Europe; scenic beauty and winter sports make them a popular tourist attraction
alps	n.	any high mountain
already	adv.	prior to a specified or implied time
alright	adj.	nonstandard usage
alright	adv.	without doubt (used to reinforce an assertion)
alright	adv.	an expression of agreement normally occurring at the beginning of a sentence
alright	adv.	in a satisfactory or adequate manner; ; ; (`alright' is a nonstandard variant of `all right')
alsace	n.	a region of northeastern France famous for its wines
alsatian	n.	a native or inhabitant of Alsace
alsatian	n.	breed of large shepherd dogs used in police work and as a guide for the blind
alsatian	adj.	of or relating to or characteristic of Alsace or its inhabitants
also	adv.	in addition
alt	n.	angular distance above the horizon (especially of a celestial object)
altaic	n.	any member of the peoples speaking a language in the Altaic language group
altaic	n.	a group of related languages spoken in Asia and southeastern Europe
altaic	adj.	of or pertaining to or written in Altaic
altair	n.	double star 15.7 light years from Earth; the brightest star in the Aquila constellation
altar	n.	the table in Christian churches where communion is given
altar	n.	a raised structure on which gifts or sacrifices to a god are made
altarpiece	n.	a painted or carved screen placed above and behind an altar or communion table
alter	v.	cause to change; make different; cause a transformation
alter	v.	become different in some particular way, without permanently losing one's or its former characteristics or essence
alter	v.	make an alteration to
alter	v.	insert words into texts, often falsifying it thereby
alter	v.	remove the ovaries of
alterable	adj.	capable of being changed or altered in some characteristic
alterable	adj.	(of the punishment ordered by a court) capable of being changed to one less severe
alteration	n.	an event that occurs when something passes from one state or phase to another
alteration	n.	the act of making something different (as e.g. the size of a garment)
alteration	n.	the act of revising or altering (involving reconsideration and modification)
altercation	n.	noisy quarrel
altered	v.	cause to change; make different; cause a transformation
altered	v.	become different in some particular way, without permanently losing one's or its former characteristics or essence
altered	v.	make an alteration to
altered	v.	insert words into texts, often falsifying it thereby
altered	v.	remove the ovaries of
altered	adj.	changed in form or character without becoming something else; ; ; - Charles Dickens
altered	adj.	having testicles or ovaries removed
altered	adj.	changed in order to improve or made more fit for a particular purpose
alternate	n.	someone who takes the place of another person
alternate	v.	go back and forth; swing back and forth between two states or conditions
alternate	v.	exchange people temporarily to fulfill certain jobs and functions
alternate	v.	be an understudy or alternate for a role
alternate	v.	reverse (a direction, attitude, or course of action)
alternate	v.	do something in turns
alternate	adj.	every second one of a series; ; - the White Queen
alternate	adj.	serving or used in place of another
alternate	adj.	occurring by turns; first one and then the other
alternate	adj.	of leaves and branches etc; first on one side and then on the other in two ranks along an axis; not paired
alternation	n.	successive change from one thing or state to another and back again
alternative	n.	one of a number of things from which only one can be chosen
alternative	adj.	serving or used in place of another
alternative	adj.	necessitating a choice between mutually exclusive possibilities
alternative	adj.	pertaining to unconventional choices
alternator	n.	an old term for an electric generator that produces alternating current (especially in automobiles)
althea	n.	any of various plants of the genus Althaea; similar to but having smaller flowers than genus Alcea
altimeter	n.	an instrument that measures the height above ground; used in navigation
altitude	n.	elevation especially above sea level or above the earth's surface
altitude	n.	the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)
altitude	n.	angular distance above the horizon (especially of a celestial object)
alto	n.	a singer whose voice lies in the alto clef
alto	n.	the lowest female singing voice
alto	n.	the highest adult male singing voice
alto	n.	(of a musical instrument) the second highest instrument in a family of musical instruments
alto	n.	the pitch range of the lowest female voice
alto	adj.	of or being the lowest female voice
alto	adj.	of or being the highest male voice; having a range above that of tenor
alto	adj.	(of a musical instrument) second highest member of a group
altogether	n.	informal terms for nakedness
